TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
FAPI;03.564.825/0001-27;SICREDI FAPI COMPOSTO - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;1467.000000;1553887.04;;;PJ;33.611.500/0001-19;GERDAU S.A;2026-05-06;S;DI1;DI de um dia;107.250000;0.000000;;S;N;
FAPI;10.546.592/0001-03;SICREDI FAPI RENDA FIXA FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;1007.000000;1066642.30;;;PJ;33.611.500/0001-19;GERDAU S.A;2026-05-06;S;DI1;DI de um dia;107.250000;0.000000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;17392.000000;17493331.16;;;PJ;08.873.873/0001-10;ECORODOVIAS CON;2024-04-15;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;3250.000000;3268935.50;;;PJ;08.873.873/0001-10;ECORODOVIAS CON;2024-04-15;S;DI1;DI de um dia;100.000000;1.305193;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;13.000000;25993310.03;;;PJ;02.998.611/0001-04;CTEEP - CIA TRA;2024-05-06;S;DI1;DI de um dia;100.000000;1.250000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;2.000000;6700320.89;;;PJ;00.864.214/0001-06;ENERGISA SA;2024-07-23;S;DI1;DI de um dia;100.000000;1.378719;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;4.000000;13400641.77;;;PJ;00.864.214/0001-06;ENERGISA SA;2024-07-23;S;DI1;DI de um dia;100.000000;1.800000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;4000.000000;4232211.28;;;PJ;00.864.214/0001-06;ENERGISA SA;2025-06-08;S;DI1;DI de um dia;100.000000;1.449999;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;8266.000000;8405156.27;;;PJ;04.370.282/0001-70;COPEL GERACAO E;2025-09-10;S;DI1;DI de um dia;100.000000;1.334249;;S;N;
FI;00.322.699/0001-06;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA REFERENCIADO DI CRÉDITO PRIVADO LONGO PRAZO EXECUTIVO;2023-10-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;2.000000;13103052.93;;;PJ;01.417.222/0001-77;MRS LOGÍSTICA;2026-10-22;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
